13:49:15 [INFO] Opening target process: csgo.exe
13:50:31 [INFO] Found signature: m_yawClassPtr => 0xD2F320
13:50:31 [INFO] Found signature: m_pitchClassPtr => 0x5172678
13:50:31 [INFO] Found signature: interface_engine_cvar => 0x3E9EC
13:50:31 [INFO] Found signature: convar_name_hash_table => 0x2F0F8
13:50:31 [INFO] Found signature: m_bDormant => 0xED
13:50:31 [INFO] Found signature: model_ambient_min => 0x58BDBC
13:50:31 [INFO] Found signature: set_abs_angles => 0x1CEC00
13:50:31 [INFO] Found signature: set_abs_origin => 0x1CEA40
13:50:31 [INFO] Found signature: is_c4_owner => 0x3A4360
13:50:31 [INFO] Found signature: force_update_spectator_glow => 0x397F32
13:50:31 [INFO] Found signature: anim_overlays => 0x2980
13:50:31 [INFO] Found signature: m_flSpawnTime => 0xA360
13:50:31 [INFO] Found signature: find_hud_element => 0x6143B6C0
13:50:31 [INFO] Finished signature scanning: 57/57 items successful
13:50:31 [INFO] Starting netvar scanning: 85 items
13:50:31 [INFO] Found netvar: m_ArmorValue => 0xB368
13:50:31 [INFO] Found netvar: m_Collision => 0x320
13:50:31 [INFO] Found netvar: m_CollisionGroup => 0x474
13:50:31 [INFO] Found netvar: m_Local => 0x2FBC
13:50:31 [INFO] Found netvar: m_MoveType => 0x25B
13:50:31 [INFO] Found netvar: m_OriginalOwnerXuidHigh => 0x31B4
13:50:31 [INFO] Found netvar: m_OriginalOwnerXuidLow => 0x31B0
13:50:31 [INFO] Found netvar: m_aimPunchAngle => 0x302C
13:50:31 [INFO] Found netvar: m_aimPunchAngleVel => 0x3038
13:50:31 [INFO] Found netvar: m_bGunGameImmunity => 0x3930
13:50:31 [INFO] Found netvar: m_bHasDefuser => 0xB378
13:50:31 [INFO] Found netvar: m_bHasHelmet => 0xB35C
13:50:31 [INFO] Found netvar: m_bInReload => 0x3228
13:50:31 [INFO] Found netvar: m_bIsDefusing => 0x391C
13:50:31 [INFO] Found netvar: m_bIsScoped => 0x3914
13:50:31 [INFO] Found netvar: m_bSpotted => 0x93D
13:50:31 [INFO] Found netvar: m_bSpottedByMask => 0x980
13:50:31 [INFO] Found netvar: m_dwBoneMatrix => 0x268C
13:50:31 [INFO] Found netvar: m_fAccuracyPenalty => 0x3320
13:50:31 [INFO] Found netvar: m_fFlags => 0x104
13:50:31 [INFO] Found netvar: m_flFallbackWear => 0x31C0
13:50:31 [INFO] Found netvar: m_flFlashDuration => 0xA410
13:50:31 [INFO] Found netvar: m_flFlashMaxAlpha => 0xA40C
13:50:31 [INFO] Found netvar: m_flNextPrimaryAttack => 0x3228
13:50:31 [INFO] Found netvar: m_hActiveWeapon => 0x2EF8
13:50:31 [INFO] Found netvar: m_hMyWeapons => 0x2EF8
13:50:31 [INFO] Found netvar: m_hObserverTarget => 0x3388
13:50:31 [INFO] Found netvar: m_hOwner => 0x29CC
13:50:31 [INFO] Found netvar: m_hOwnerEntity => 0x14C
13:50:31 [INFO] Found netvar: m_iAccountID => 0x2FC8
13:50:31 [INFO] Found netvar: m_iClip1 => 0x3254
13:50:31 [INFO] Found netvar: m_iCompetitiveRanking => 0x1A84
13:50:31 [INFO] Found netvar: m_iCompetitiveWins => 0x1B88
13:50:31 [INFO] Found netvar: m_iCrosshairId => 0xB378
13:50:31 [INFO] Found netvar: m_iEntityQuality => 0x2FAC
13:50:31 [INFO] Found netvar: m_iFOVStart => 0x31E8
13:50:31 [INFO] Found netvar: m_iFOV => 0x31E4
13:50:31 [INFO] Found netvar: m_iGlowIndex => 0xA410
13:50:31 [INFO] Found netvar: m_iHealth => 0x100
13:50:31 [INFO] Found netvar: m_iItemDefinitionIndex => 0x2FAA
13:50:31 [INFO] Found netvar: m_iItemIDHigh => 0x2FC0
13:50:31 [INFO] Found netvar: m_iObserverMode => 0x3374
13:50:31 [INFO] Found netvar: m_iShotsFired => 0xA380
13:50:31 [INFO] Found netvar: m_iState => 0x3248
13:50:31 [INFO] Found netvar: m_iTeamNum => 0xF4
13:50:31 [INFO] Found netvar: m_lifeState => 0x25F
13:50:31 [INFO] Found netvar: m_nFallbackPaintKit => 0x31B8
13:50:31 [INFO] Found netvar: m_nFallbackSeed => 0x31BC
13:50:31 [INFO] Found netvar: m_nFallbackStatTrak => 0x31C4
13:50:31 [INFO] Found netvar: m_nForceBone => 0x268C
13:50:31 [INFO] Found netvar: m_nTickBase => 0x342C
13:50:31 [INFO] Found netvar: m_rgflCoordinateFrame => 0x474
13:50:31 [INFO] Found netvar: m_szCustomName => 0x303C
13:50:31 [INFO] Found netvar: m_szLastPlaceName => 0x35B0
13:50:31 [INFO] Found netvar: m_vecOrigin => 0x138
13:50:31 [INFO] Found netvar: m_vecVelocity => 0x114
13:50:31 [INFO] Found netvar: m_vecViewOffset => 0x108
13:50:31 [INFO] Found netvar: m_viewPunchAngle => 0x3020
13:50:31 [INFO] Found netvar: m_thirdPersonViewAngles => 0x31D4
13:50:31 [INFO] Found netvar: m_clrRender => 0x70
13:50:31 [INFO] Found netvar: m_flC4Blow => 0x2990
13:50:31 [INFO] Found netvar: m_flTimerLength => 0x2994
13:50:31 [INFO] Found netvar: m_flDefuseLength => 0x29A8
13:50:31 [INFO] Found netvar: m_flDefuseCountDown => 0x29AC
13:50:31 [INFO] Found netvar: cs_gamerules_data => 0x0
13:50:31 [INFO] Found netvar: m_SurvivalRules => 0xCF8
13:50:31 [INFO] Found netvar: m_SurvivalGameRuleDecisionTypes => 0x1320
13:50:31 [INFO] Found netvar: m_bIsValveDS => 0x75
13:50:31 [INFO] Found netvar: m_bFreezePeriod => 0x20
13:50:31 [INFO] Found netvar: m_bBombPlanted => 0x99D
13:50:31 [INFO] Found netvar: m_bIsQueuedMatchmaking => 0x74
13:50:31 [INFO] Found netvar: m_flSimulationTime => 0x268
13:50:31 [INFO] Found netvar: m_flLowerBodyYawTarget => 0x3A7C
13:50:31 [INFO] Found netvar: m_angEyeAnglesX => 0xB36C
13:50:31 [INFO] Found netvar: m_angEyeAnglesY => 0xB370
13:50:31 [INFO] Found netvar: m_flNextAttack => 0x2D70
13:50:31 [INFO] Found netvar: m_iMostRecentModelBoneCounter => 0x268C
13:50:31 [INFO] Found netvar: m_flLastBoneSetupTime => 0x28BC
13:50:31 [INFO] Found netvar: m_bStartedArming => 0x33E0
13:50:31 [INFO] Found netvar: m_bUseCustomBloomScale => 0x9DA
13:50:31 [INFO] Found netvar: m_bUseCustomAutoExposureMin => 0x9D8
13:50:31 [INFO] Found netvar: m_bUseCustomAutoExposureMax => 0x9D9
13:50:31 [INFO] Found netvar: m_flCustomBloomScale => 0x9E4
13:50:31 [INFO] Found netvar: m_flCustomAutoExposureMin => 0x9DC
13:50:31 [INFO] Found netvar: m_flCustomAutoExposureMax => 0x9E0
13:50:31 [INFO] Finished netvar scanning: 85/85 items successful
